Stores,Store Code,Description,Barcode,Retail Price,Sold Price,Last Sold,Avg Wkly Sales,Competitor,Price Check Date,Competitor Price,Diff (€),Diff (%),Match Cost (PW),Offer,Details
5,642,FLAHAVANS PROGRESS OATLETS  1KG,5099801000024,2.43,2.43,23/02/2018,76,Tesco Ireland Website,25/02/2018,2.29,0.14,0.0611,10.64,,
5,1168,KERRY LOW LOW 500G,5011069001254,2.79,2.79,23/02/2018,75,Tesco Ireland Website,25/02/2018,2.49,0.3,0.1204,22.5,,
5,180445,KOKA NODDLES 4PK 340G CHICKEN,8888056103874,3.59,3,23/02/2018,75,Tesco Ireland Website,25/02/2018,2.69,0.31,0.1152,23.25,SAVE 25%,valid from 7/2/2018 until 6/3/2018
5,141258,MILLER  BOTTLES 20 X 30CL,8716700026487,19.99,17.99,23/02/2018,74,Tesco Ireland Website,25/02/2018,17,0.99,0.0582,73.26,Only 17.00 Miller Genuine Draft,valid from 21/2/2018 until 20/3/2018
5,192269,JOHNSONS BABY WIPES EX SENS 56S,3574661264813,2.79,1.5,23/02/2018,73,Tesco Ireland Website,25/02/2018,1,0.5,0.5,36.5,SAVE 1.79 Was 2.79 Now 1.00,valid from 20/2/2018 until 19/3/2018
5,138362,BRENNANS CHIA WHOLEGRAIN 800G,5011059001592,2.19,2.19,23/02/2018,73,Tesco Ireland Website,25/02/2018,1.99,0.2,0.1005,14.6,,
5,173029,NEW YORK SESAME BAGELS 5PK,5018297006471,1.89,1.89,23/02/2018,72,Tesco Ireland Website,25/02/2018,1.5,0.39,0.26,28.08,SAVE 40c Was 1.90 Now 1.50,valid from 20/2/2018 until 19/3/2018
5,44486,CULLY & SULLY SQUASH VEG SOUP 400G,5391511420384,2.49,2.49,23/02/2018,72,Super Value Website,25/02/2018,2,0.152,0.076,10.944,Special Offer,Feb 15th - Mar 6th
5,180447,KOKA NOODLE CURRY 4PK 340G,8888056103850,3.59,3,23/02/2018,71,Tesco Ireland Website,25/02/2018,2.69,0.31,0.1152,22.01,SAVE 25%,valid from 7/2/2018 until 6/3/2018
5,128588,GOOD FELLAS DEEP PEPPERONI 419G,5391520182440,3.69,3.69,23/02/2018,70,Tesco Ireland Website,25/02/2018,3,0.69,0.23,48.3,,
5,158793,APTAMIL  GUM MILK STG1 200ML,5051594002975,0.95,0.95,23/02/2018,69,Tesco Ireland Website,25/02/2018,0.89,0.06,0.0674,4.14,,
5,175799,MCDONNELLS CURRY SAUCE 250G,5098732001490,3.99,3.99,23/02/2018,68,Tesco Ireland Website,25/02/2018,3,0.99,0.33,67.32,SAVE 99c Was 3.99 Now 3.00,valid from 7/2/2018 until 6/3/2018
4,9359,JACOBS ICE WAFER 15G,5011021090005,0.55,0.55,23/02/2018,68,Tesco Ireland Website,25/02/2018,0.45,0.1,0.2222,6.8,,
5,208416,HUNKY DORY SOUR CREAM & ONION 135G,5099678303235,2.65,2.65,23/02/2018,67,Tesco Ireland Website,25/02/2018,2,0.6175,0.3087,41.3725,SAVE 55c Was 2.55 Now 2.00,valid from 7/2/2018 until 6/3/2018
5,77854,CADBURY BUTTONS GIANT BAG 40G,5034660518679,1.25,1.25,23/02/2018,67,Super Value Website,25/02/2018,1,0.25,0.25,16.75,Special Offer,Feb 15th - Mar 7th
5,5624,BALLYGOWAN STILL 500ML,0041990050019,1.1,1.1,23/02/2018,67,Tesco Ireland Website,25/02/2018,0.95,0.15,0.1578,10.05,,
5,4118,WEETABIX 24S,5010029000016,2.89,2.89,23/02/2018,67,Tesco Ireland Website,25/02/2018,2.5,0.39,0.156,26.13,Only 2.50 Weetabix Cereal,valid from 7/2/2018 until 6/3/2018
5,146684,DURACELL PLUS POWER AA 53EF 8PK,5000394018136,6.79,6.79,23/02/2018,67,Super Value Website,25/02/2018,5.95,0.84,0.1411,56.28,,
5,180481,CHIVERS STRAWBERRY JELLY 135G,5098732000394,1.15,1.15,23/02/2018,66,Tesco Ireland Website,25/02/2018,0.86,0.29,0.3372,19.14,SAVE 25%,valid from 7/2/2018 until 6/3/2018
5,163882,HB RASPBERRY RIPPLE 568ML 1PT,8712100459542,2.25,2.25,23/02/2018,66,Tesco Ireland Website,25/02/2018,1.93,0.32,0.1658,21.12,,
5,68759,TAYTO OCCASIONS BACON FRIES 75G,5011096005102,2.39,2.39,23/02/2018,66,Tesco Ireland Website,25/02/2018,2.25,0.14,0.0622,9.24,,
5,166077,PETIT FILOUS STRAWB/APRICOT 6X47G,3329770051553,1.95,1.95,23/02/2018,65,Tesco Ireland Website,25/02/2018,0.97,0.98,1.0103,63.7,HALF PRICE Was 1.95 Now 97c,valid from 31/1/2018 until 27/2/2018
5,208413,HUNKY DORYS SALT/VINEGAR 135G,5099678303228,2.65,2.65,23/02/2018,65,Tesco Ireland Website,25/02/2018,2,0.65,0.325,42.25,SAVE 55c Was 2.55 Now 2.00,valid from 7/2/2018 until 6/3/2018
5,144560,BIRDS EYE POTATO WAFFLES 18S 1.02KG,5000116107827,3.85,3.85,23/02/2018,65,Tesco Ireland Website,25/02/2018,3,0.85,0.2833,55.25,SAVE 50c Was 3.50 Now 3.00,valid from 30/1/2018 until 26/2/2018
4,9253,B/JERRYS PHISH FOOD 500ML,0076840600151,6.59,6.59,23/02/2018,64,Tesco Ireland Website,25/02/2018,3.5,3.09,0.8828,197.76,SAVE 2.80 Was 6.30 Now 3.50,valid from 30/1/2018 until 26/2/2018
5,199512,BUSHMILLS ORIG 40%  70CL,5055966800022,27.99,23.99,23/02/2018,64,Tesco Ireland Website,25/02/2018,21,2.99,0.1423,191.36,,
5,208065,CARBERY CRACKER CHEESE PM 200G,5390413012048,2,3,23/02/2018,64,Super Value Website,25/02/2018,2,0.2,0.1,12.8,Special Offer,Feb 15th - Mar 6th
4,140811,CADBURY DAIRY MILK OREO 120G,7622300754136,2.75,2.75,23/02/2018,63,Tesco Ireland Website,25/02/2018,1.5,1.1875,0.7916,74.8125,SAVE 50c Was 2.00 Now 1.50,valid from 7/2/2018 until 6/3/2018
5,149010,ALPRO ALMOND SWEET FRESH 1LTR,5411188110859,2.39,2.59,23/02/2018,63,Tesco Ireland Website,25/02/2018,1.39,1.04,0.7482,65.52,SAVE 1.00 Was 2.39 Now 1.39,valid from 7/2/2018 until 6/3/2018
5,168800,PETIT FILOUS STRAW/RASP BIG POTS 4X85G,3329770051584,2.39,1.5,23/02/2018,63,Tesco Ireland Website,25/02/2018,1.19,0.31,0.2605,19.53,HALF PRICE Was 2.39 Now 1....,valid from 31/1/2018 until 27/2/2018
5,8490,MAGUIRE & PATT FIRESIDE MATCHES,5011078002037,1.29,1.29,23/02/2018,63,Super Value Website,25/02/2018,1.03,0.26,0.2524,16.38,,
5,8490,MAGUIRE & PATT FIRESIDE MATCHES,5011078002037,1.29,1.29,23/02/2018,63,Tesco Ireland Website,25/02/2018,1.03,0.26,0.2524,16.38,,
5,7927,AIRWAVES BLACKCURRANT VAPOUR SF,42070047,0.79,0.8425,23/02/2018,63,Super Value Website,25/02/2018,0.69,0.1105,0.1601,6.9615,,
5,6469,PALMOLIVE LIQUID SOAP MILK&HONEY 300ML,8003520013026,2.49,1.5,23/02/2018,63,Tesco Ireland Website,25/02/2018,1.24,0.16,0.129,10.08,HALF PRICE Was 2.49 Now 1....,valid from 20/2/2018 until 19/3/2018
5,188756,CADBURY WISPA CHOCOLATE BAR 36G,7622210470126,1.2,1.2,23/02/2018,63,Tesco Ireland Website,25/02/2018,1.08,0.12,0.1111,7.56,,
5,44487,CULLY & SULLY MUSHROOM SOUP (F) 400G,5391511420391,2.49,2.49,23/02/2018,63,Super Value Website,25/02/2018,2,0.152,0.076,9.576,Special Offer,Feb 15th - Mar 6th
3,174899,WALKERS CRISPS CHEESE/ONION 6PK 6X25G,5000328375373,2.29,2.29,23/02/2018,62,Super Value Website,25/02/2018,1.5,0.79,0.5266,48.98,Special Offer,Feb 15th - Mar 7th
3,174899,WALKERS CRISPS CHEESE/ONION 6PK 6X25G,5000328375373,2.29,2.29,23/02/2018,62,Tesco Ireland Website,25/02/2018,1.5,0.79,0.5266,48.98,Only 1.50 Walkers Cheese & Onion,valid from 14/2/2018 until 27/2/2018
5,185492,KILLEEN REFUSE SACKS 10S,5098732003616,2.89,2.99,23/02/2018,62,Super Value Website,25/02/2018,2,0.92,0.46,57.04,Special Offer,Feb 15th - Mar 7th
5,185492,KILLEEN REFUSE SACKS 10S,5098732003616,2.89,2.99,23/02/2018,62,Tesco Ireland Website,25/02/2018,2,0.92,0.46,57.04,SAVE 89c Was 2.89 Now 2.00,valid from 7/2/2018 until 6/3/2018
4,137513,KEOGHS DUBLINER CHEESE & ONION 50G,5390248510009,1.05,1.05,23/02/2018,62,Super Value Website,25/02/2018,0.75,0.3,0.4,18.6,Special Offer,Feb 15th - Mar 7th
4,52010,JMOB HANDY PAN TOASTIE 400G,5099867000471,1.38,1.38,23/02/2018,62,Super Value Website,25/02/2018,1,0.38,0.38,23.56,Special Offer,Feb 15th - Mar 7th
4,38052,BIRDS CUSTARD POWDER DRUM  300G,5000354700064,1.19,1.69,23/02/2018,62,Tesco Ireland Website,25/02/2018,1.19,0.125,0.105,7.75,,
3,164590,CADBURY DAIRY MILK 110G,7622300845759,2.75,2.75,23/02/2018,61,Tesco Ireland Website,25/02/2018,1.5,1.25,0.8333,76.25,,
5,130604,MANGETOUT 150G,5390183100143,2.49,1.79,23/02/2018,61,Super Value Website,25/02/2018,0.99,0.636,0.6424,38.796,Special Offer,Feb 15th - Feb 28th
5,50876,AVONMORE FRESH CREAM BTL 500ML,5011056030434,3.79,3.79,23/02/2018,61,Tesco Ireland Website,25/02/2018,2.47,1.32,0.5344,80.52,SAVE 33%,valid from 31/1/2018 until 27/2/2018
4,23841,ACTIVIA RHUBARB BIO YOG 4X125G,5060058331346,2.39,2.39,23/02/2018,61,Tesco Ireland Website,25/02/2018,2,0.39,0.195,23.79,Only 2.00 Danone Activia Rhubarb Y...,valid from 31/1/2018 until 27/2/2018
5,3002,KNORR AROMAT SPRINKLER REG 90G,5000184221241,1.69,1.69,23/02/2018,61,Tesco Ireland Website,25/02/2018,1.59,0.1,0.0628,6.1,,
5,118297,INNOCENT ORANGE SMOOTH 900ML,5038862102506,3.25,3.25,23/02/2018,60,Tesco Ireland Website,25/02/2018,2.5,0.75,0.3,45,SAVE 75c Was 3.25 Now 2.50,valid from 31/1/2018 until 27/2/2018
5,128655,GOOD FELLAS DEEP CHEESE 417G,5391520182488,3.69,3.69,23/02/2018,60,Tesco Ireland Website,25/02/2018,3,0.69,0.23,41.4,,
5,42877,CADBURY DRINKING CHOCOLATE 250G,5034660021537,2.69,3.2,20/02/2018,60,Tesco Ireland Website,25/02/2018,2.69,0.51,0.1895,30.6,,
